source_file,calculation_group,calculation_type,status,R_A,state,energy_Ha,spin_S,multiplicity,alpha,beta,coefficient,weight,notes
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,01110000000000000000000000000,10100000000000000010000000000,0.05123170,0.00262469,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,01110000000000000000000000000,11100000000000000000000000000,-0.53079660,0.28174503,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,11100000000000000000000000000,01110000000000000000000000000,-0.53079660,0.28174503,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,01100010000000000000000000000,11100000000000000000000000000,-0.24324960,0.05917037,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,11100000000000000000000000000,01100010000000000000000000000,-0.24324960,0.05917037,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,01100001000000000000000000000,11100000000000000000000000000,-0.22898020,0.05243193,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,11100000000000000000000000000,01100001000000000000000000000,-0.22898020,0.05243193,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,01100000001000000000000000000,11100000000000000000000000000,0.22524100,0.05073351,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,11100000000000000000000000000,01100000001000000000000000000,0.22524100,0.05073351,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,01100000000000001000000000000,11100000000000000000000000000,-0.09575270,0.00916858,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,11100000000000000000000000000,01100000000000001000000000000,-0.09575270,0.00916858,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,01100000000000000001000000000,11100000000000000000000000000,-0.07007410,0.00491038,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,11100000000000000000000000000,01100000000000000001000000000,-0.07007410,0.00491038,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,01100000000100000000000000000,11100000000000000000000000000,0.05888630,0.00346760,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,11100000000000000000000000000,01100000000100000000000000000,0.05888630,0.00346760,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,01110000000000000000000000000,10100000000000000010000000000,0.05188710,0.00269227,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,10100000000000000010000000000,01110000000000000000000000000,0.05188710,0.00269227,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,01110000000000000000000000000,11000000000000000100000000000,-0.05188710,0.00269227,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,11000000000000000100000000000,01110000000000000000000000000,-0.05188710,0.00269227,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,01110000000000000000000000000,01100000000000000000001000000,-0.05001940,0.00250194,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,3,-106.716138735200,0.000,1.000,01100000000000000000001000000,01110000000000000000000000000,-0.05001940,0.00250194,printed_ci_coefficient_threshold_from_output
